fg_version,vendor,model,class_name,only_aosp_count,only_aosp_methods,only_oem_count,only_oem_methods
9.0,yestel,x7_eea,sun.nio.ch.FileChannelImpl.smali,3,"['finalize', 'transferToDirectlyInternal', 'access$000']",1,['-wrap0']
9.0,yestel,x7_eea,java.security.KeyStore$PasswordProtection.smali,2,"['getProtectionAlgorithm', 'getProtectionParameters']",0,[]
9.0,yestel,x7_eea,java.util.logging.FileHandler.smali,2,"['isParentWritable', 'access$100']",1,['-wrap0']
9.0,yestel,x7_eea,java.util.function.BiFunction.smali,1,['lambda$andThen$0'],1,['-java_util_function_BiFunction_lambda$1']
9.0,yestel,x7_eea,java.util.stream.ReferencePipeline.smali,3,"['lambda$count$2', 'lambda$collect$1', 'lambda$toArray$0']",3,"['-java_util_stream_ReferencePipeline_lambda$5', '-java_util_stream_ReferencePipeline-mthref-0', '-java_util_stream_ReferencePipeline_lambda$6']"
9.0,yestel,x7_eea,java.lang.ProcessEnvironment$StringEntrySet.smali,1,['access$500'],1,['-get0']
9.0,yestel,x7_eea,java.util.function.BinaryOperator.smali,2,"['lambda$minBy$0', 'lambda$maxBy$1']",2,"['-java_util_function_BinaryOperator_lambda$1', '-java_util_function_BinaryOperator_lambda$2']"
9.0,yestel,x7_eea,java.io.ObjectInputStream$ValidationList.smali,1,['access$400'],1,['-get0']
9.0,yestel,x7_eea,javax.crypto.Cipher$Transform.smali,2,"['access$400', 'access$300']",2,"['-get1', '-get0']"
9.0,yestel,x7_eea,java.net.AbstractPlainDatagramSocketImpl.smali,1,['dataAvailable'],0,[]
9.0,yestel,x7_eea,java.security.KeyStore$Builder$FileBuilder.smali,5,"['access$200', 'access$502', 'access$100', 'access$300', 'access$400']",5,"['-get0', '-get1', '-get3', '-get2', '-set0']"
9.0,yestel,x7_eea,sun.nio.ch.ServerSocketChannelImpl.smali,1,['poll'],0,[]
9.0,yestel,x7_eea,java.util.Arrays$ArrayList.smali,1,['sort'],0,[]
9.0,yestel,x7_eea,java.util.function.UnaryOperator.smali,1,['lambda$identity$0'],1,['-java_util_function_UnaryOperator_lambda$1']
9.0,yestel,x7_eea,java.util.ResourceBundle$RBClassLoader.smali,1,['access$000'],1,['-get0']
9.0,yestel,x7_eea,java.io.FileOutputStream.smali,1,['open0'],0,[]
9.0,yestel,x7_eea,java.util.Tripwire.smali,1,['lambda$static$0'],1,['-java_util_Tripwire_lambda$1']
9.0,yestel,x7_eea,java.util.stream.StreamSpliterators$SliceSpliterator$OfLong.smali,1,['lambda$emptyConsumer$0'],1,['-java_util_stream_StreamSpliterators$SliceSpliterator$OfLong_lambda$16']
9.0,yestel,x7_eea,sun.security.provider.certpath.PKIX.smali,1,['access$100'],1,['-get0']
9.0,yestel,x7_eea,java.lang.ProcessEnvironment$StringValues.smali,1,['access$700'],1,['-get0']
9.0,yestel,x7_eea,java.lang.Process.smali,2,"['destroyForcibly', 'isAlive']",0,[]
9.0,yestel,x7_eea,java.lang.reflect.Constructor.smali,5,"['specificToGenericStringHeader', 'specificToStringHeader', 'hasGenericInformation', 'getParameterCount', '<clinit>']",5,"['getParameterAnnotationsNative', 'isAnnotationPresent', 'getAnnotationNative', 'getSignature', 'isAnnotationPresentNative']"
9.0,yestel,x7_eea,java.text.AttributedString.smali,5,"['access$200', 'access$100', 'access$300', 'access$400', 'access$000']",5,"['-wrap4', '-wrap0', '-wrap2', '-wrap3', '-wrap1']"
9.0,yestel,x7_eea,sun.misc.URLClassPath.smali,16,"['getLookupCacheURLs', 'knownToNotExist0', 'access$200', 'validateLookupCache', 'getLookupCache', 'getNextLoader', 'access$100', 'access$300', 'access$1200', 'initLookupCache', 'ensureLoaderOpened', 'knownToNotExist', 'getLookupCacheForClassLoader', 'disableAllLookupCaches', 'access$500', 'access$000']",4,"['-wrap0', '-get1', '-get2', '-get0']"
9.0,yestel,x7_eea,java.util.SubList.smali,5,"['access$208', 'access$200', 'access$100', 'access$210', 'access$000']",4,"['-get1', '-get2', '-set0', '-get0']"
9.0,yestel,x7_eea,java.lang.ThreadLocal$ThreadLocalMap.smali,3,"['access$000', 'access$100', 'access$200']",3,"['-wrap0', '-wrap1', '-wrap2']"
9.0,yestel,x7_eea,java.util.function.LongConsumer.smali,1,['lambda$andThen$0'],1,['-java_util_function_LongConsumer_lambda$1']
9.0,yestel,x7_eea,java.net.URL.smali,8,"['fabricateNewURL', 'setDeserializedFields', 'createBuiltinHandler', 'readResolve', 'createBuiltinHandlerClassNames', 'isBuiltinStreamHandler', 'setSerializedHashCode', 'resetState']",0,[]
9.0,yestel,x7_eea,javax.net.ssl.SSLServerSocket.smali,1,['toString'],0,[]
9.0,yestel,x7_eea,java.lang.Class$Caches.smali,1,['access$000'],1,['-get0']
9.0,yestel,x7_eea,java.util.RegularEnumSet.smali,2,"['access$074', 'access$000']",2,"['-set0', '-get0']"
9.0,yestel,x7_eea,java.util.jar.JarVerifier$VerifierCodeSource.smali,1,['access$000'],1,['-wrap0']
9.0,yestel,x7_eea,sun.security.provider.certpath.URICertStore.smali,1,['$closeResource'],0,[]
9.0,yestel,x7_eea,sun.net.www.MessageHeader.smali,4,"['getHeaderNamesInList', 'access$000', 'access$100', 'access$200']",3,"['-get1', '-get2', '-get0']"
9.0,yestel,x7_eea,java.nio.channels.Channels.smali,1,['access$000'],1,['-wrap0']
9.0,yestel,x7_eea,java.util.stream.StreamSpliterators$SliceSpliterator$OfDouble.smali,1,['lambda$emptyConsumer$0'],1,['-java_util_stream_StreamSpliterators$SliceSpliterator$OfDouble_lambda$17']
9.0,yestel,x7_eea,java.util.ResourceBundle$Control.smali,2,"['access$300', 'toResourceName0']",1,['-get0']
9.0,yestel,x7_eea,java.util.AbstractMap.smali,1,['access$000'],1,['-wrap0']
9.0,yestel,x7_eea,sun.util.calendar.JulianCalendar.smali,1,['access$000'],1,['-get0']
9.0,yestel,x7_eea,java.lang.ProcessEnvironment$StringEntry.smali,1,['access$600'],1,['-get0']
9.0,yestel,x7_eea,java.lang.reflect.Method.smali,5,"['getDeclaredAnnotations', 'specificToGenericStringHeader', 'hasGenericInformation', 'getParameterCount', 'specificToStringHeader']",3,"['getSignature', 'getAnnotationNative', 'getParameterAnnotationsNative']"
9.0,yestel,x7_eea,java.util.stream.LongPipeline$StatefulOp.smali,2,"['parallel', 'sequential']",0,[]
9.0,yestel,x7_eea,java.util.stream.IntPipeline$7$1.smali,1,['lambda$accept$0'],1,['-java_util_stream_IntPipeline$7$1_lambda$3']
9.0,yestel,x7_eea,java.util.stream.StreamSpliterators$DistinctSpliterator.smali,1,['lambda$forEachRemaining$0'],1,['-java_util_stream_StreamSpliterators$DistinctSpliterator_lambda$18']
9.0,yestel,x7_eea,java.nio.CharBuffer.smali,1,['lambda$chars$0'],1,['-java_nio_CharBuffer_lambda$1']
9.0,yestel,x7_eea,java.util.ServiceLoader.smali,4,"['access$400', 'access$100', 'access$200', 'access$300']",4,"['-wrap0', '-get1', '-wrap1', '-get0']"
9.0,yestel,x7_eea,java.net.InetSocketAddress$InetSocketAddressHolder.smali,8,"['access$200', 'access$800', 'access$100', 'access$700', 'access$300', 'access$600', 'access$400', 'access$500']",8,"['-wrap4', '-wrap0', '-wrap2', '-get0', '-get2', '-wrap3', '-get1', '-wrap1']"
9.0,yestel,x7_eea,java.util.GregorianCalendar.smali,3,"['from', 'toZonedDateTime', 'getCalendarType']",0,[]
9.0,yestel,x7_eea,sun.net.ftp.FtpClientProvider.smali,4,"['access$000', 'access$100', 'access$102', 'access$200']",4,"['-wrap1', '-wrap0', '-set0', '-get0']"
9.0,yestel,x7_eea,java.util.stream.SliceOps$2.smali,1,['lambda$opEvaluateParallelLazy$0'],1,['-java_util_stream_SliceOps$2-mthref-0']
9.0,yestel,x7_eea,java.util.stream.LongPipeline$Head.smali,2,"['parallel', 'sequential']",0,[]
9.0,yestel,x7_eea,java.util.LinkedHashMap.smali,15,"['linkNodeLast', 'afterNodeRemoval', 'keySet', 'internalWriteEntries', 'transferLinks', 'entrySet', 'newTreeNode', 'reinitialize', 'values', 'replacementTreeNode', 'afterNodeAccess', 'newNode', 'getOrDefault', 'afterNodeInsertion', 'replacementNode']",9,"['newKeyIterator', 'newEntryIterator', '-get0', 'addEntry', 'init', '-get1', 'newValueIterator', 'transfer', 'createEntry']"
9.0,yestel,x7_eea,java.io.FileDescriptor.smali,2,"['access$000', 'access$002']",0,[]
9.0,yestel,x7_eea,java.security.KeyStore$SecretKeyEntry.smali,1,['getAttributes'],0,[]
9.0,yestel,x7_eea,java.util.jar.JarFile.smali,6,"['checkForSpecialAttributes', 'access$200', 'access$300', 'match', 'access$001', 'stream']",5,"['-wrap0', 'isKnownToNotHaveClassPathAttribute', '-get0', 'ensureInitialization', 'unsignedEntryNames']"
9.0,yestel,x7_eea,java.util.stream.DoublePipeline$StatelessOp.smali,2,"['parallel', 'sequential']",0,[]
9.0,yestel,x7_eea,sun.misc.VM.smali,1,['awaitBooted'],1,['allowGetCallerClass']
9.0,yestel,x7_eea,java.security.KeyStore$Builder$2.smali,2,"['access$602', 'access$702']",2,"['-set1', '-set0']"
9.0,yestel,x7_eea,sun.security.jca.ProviderList$ServiceList.smali,1,['access$200'],1,['-wrap0']
9.0,yestel,x7_eea,java.nio.channels.DatagramChannel.smali,1,['getLocalAddress'],0,[]
9.0,yestel,x7_eea,java.util.Map$Entry.smali,4,"['lambda$comparingByValue$827a17d5$1', 'lambda$comparingByKey$bbdbfea9$1', 'lambda$comparingByValue$1065357e$1', 'lambda$comparingByKey$6d558cbf$1']",4,"['-java_util_Map$Entry_lambda$3', '-java_util_Map$Entry_lambda$2', '-java_util_Map$Entry_lambda$1', '-java_util_Map$Entry_lambda$4']"
9.0,yestel,x7_eea,java.util.function.Consumer.smali,1,['lambda$andThen$0'],1,['-java_util_function_Consumer_lambda$1']
9.0,yestel,x7_eea,java.net.DatagramSocket.smali,1,['checkFiltering'],1,['setNetworkInterface']
9.0,yestel,x7_eea,java.util.stream.Tripwire.smali,1,['lambda$static$0'],1,['-java_util_stream_Tripwire_lambda$1']
9.0,yestel,x7_eea,java.util.stream.DoublePipeline$StatefulOp.smali,2,"['parallel', 'sequential']",0,[]
9.0,yestel,x7_eea,java.io.ObjectInputStream.smali,9,"['access$200', 'access$100', 'access$300', 'access$700', 'access$800', 'access$600', 'access$002', 'access$500', 'access$000']",9,"['-wrap0', '-wrap2', '-set0', '-get0', '-get1', '-get3', '-get2', '-wrap3', '-wrap1']"
9.0,yestel,x7_eea,java.util.ServiceLoader$LazyIterator.smali,2,"['hasNextService', 'nextService']",0,[]
9.0,yestel,x7_eea,java.io.ByteArrayOutputStream.smali,1,['hugeCapacity'],0,[]
9.0,yestel,x7_eea,sun.nio.ch.FileDispatcherImpl.smali,2,"['canTransferToDirectly', 'transferToDirectlyNeedsPositionLock']",1,['preCloseImpl']
9.0,yestel,x7_eea,sun.net.NetProperties.smali,1,['access$000'],1,['-wrap0']
9.0,yestel,x7_eea,javax.crypto.CryptoAllPermission.smali,1,['<clinit>'],0,[]
9.0,yestel,x7_eea,java.lang.CharSequence.smali,2,"['lambda$chars$0', 'lambda$codePoints$1']",2,"['-java_lang_CharSequence_lambda$1', '-java_lang_CharSequence_lambda$2']"
9.0,yestel,x7_eea,java.util.ResourceBundle.smali,3,"['getDefaultControl', 'getBaseBundleName', 'access$200']",1,['-get0']
9.0,yestel,x7_eea,java.lang.Runtime.smali,1,['checkTargetSdkVersionForLoad'],1,['doLoad']
9.0,yestel,x7_eea,java.lang.Package.smali,6,"['access$200', '$closeResource', 'access$100', 'isAnnotationPresent', 'access$400', 'access$000']",4,"['-wrap0', '-get1', '-get2', '-get0']"
9.0,yestel,x7_eea,java.util.ArrayList.smali,1,['access$100'],1,['-get0']
