version,vendor,aosp_used,oem_used
10,alldocube,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,alps,"['MD4' 'bn_is_relatively_prime' 'BIO_meth_set_write'
 'BN_MONT_CTX_new_for_modulus' 'CRYPTO_BUFFER_new_from_CBS'
 'CRYPTO_get_locking_callback' 'ECDSA_SIG_set0' 'RAND_SSLeay'
 'PEM_read_PKCS7' 'BIO_meth_set_create' 'i2d_re_X509_tbs'
 'EVP_marshal_digest_algorithm' 'X509_STORE_get_verify' 'RSA_print'
 'PKCS7_free' 'RSA_parse_public_key' 'X509_STORE_get_lookup_crls'
 'CRYPTO_has_broken_NEON' 'X509_OBJECT_get0_X509'
 'OPENSSL_get_armcap_pointer_for_test' 'EVP_aead_aes_128_gcm_tls13'
 'ECDSA_SIG_parse' 'lh_retrieve_key' 'DSA_marshal_public_key'
 'BN_rand_range_ex' 'EVP_PKEY_paramgen_init' 'EVP_PKEY_get0_DSA'
 'EVP_aead_null_sha1_tls' 'BIO_set_init' 'X509_get0_tbs_sigalg'
 'EVP_PKEY_paramgen' 'X509_REQ_print_ex' 'cbb_get_utf8_len'
 'CTR_DRBG_generate' 'PKCS8_marshal_encrypted_private_key'
 'BIO_meth_set_ctrl' 'PKCS7_sign' 'CBS_is_valid_asn1_bitstring'
 'CBS_get_last_u8' 'X509_CRL_up_ref' 'X509_get0_notAfter'
 'bn_mod_u16_consttime' 'EVP_MD_CTX_free' 'CBS_get_asn1_implicit_string'
 'CRYPTO_is_NEON_capable_at_runtime' 'ERR_save_state' 'RAND_egd'
 'CRYPTO_needs_hwcap2_workaround' 'EC_GROUP_get0_order'
 'EVP_aead_aes_256_gcm_siv' 'RAND_file_name' 'CBB_add_asn1_oid_from_text'
 'RAND_enable_fork_unsafe_buffering' 'X509_REQ_print_fp'
 'ED25519_keypair_from_seed' 'ED25519_verify' 'EVP_MD_CTX_reset'
 'ED25519_sign' 'EVP_PKEY_new_ed25519_private' 'bn_rshift_secret_shift'
 'OPENSSL_init_crypto' 'OpenSSL_version_num' 'RAND_get_rand_method'
 'EVP_CIPHER_CTX_set_flags' 'RSA_bits' 'CRYPTO_has_asm'
 'EC_curve_nid2nist' 'EVP_rc2_cbc' 'EVP_AEAD_CTX_aead' 'd2i_PKCS7'
 'PKCS7_type_is_signed' 'PKCS7_type_is_enveloped' 'PEM_read_bio_PKCS7'
 'bn_mod_inverse_consttime' 'CRYPTO_get_dynlock_lock_callback'
 'CBS_get_u64' 'X509_get_extended_key_usage' 'DH_get0_key'
 'cbs_get_latin1' 'DH_marshal_parameters'
 'BN_enhanced_miller_rabin_primality_test' 'X509_get0_notBefore'
 'CRYPTO_STATIC_MUTEX_unlock_read' 'cbs_get_ucs2_be'
 'EVP_aead_xchacha20_poly1305' 'BIO_set_conn_int_port'
 'X509_STORE_get_check_issued' 'i2d_PKCS12_bio'
 'EVP_aead_aes_128_gcm_tls12' 'X509_get_key_usage' 'DSA_parse_private_key'
 'OPENSSL_realloc' 'SPAKE2_CTX_free' 'RSA_set0_factors'
 'PKCS7_type_is_encrypted' 'CRYPTO_get_dynlock_create_callback'
 'ERR_SAVE_STATE_free' 'BUF_MEM_reserve' 'ASN1_STRING_get0_data'
 'CRYPTO_malloc_init' 'NETSCAPE_SPKI_verify' 'OPENSSL_clear_free'
 'PEM_write_bio_PKCS7' 'DSA_marshal_private_key' 'DSA_SIG_parse'
 'CRYPTO_BUFFER_alloc' 'BIO_get_data' 'X509_STORE_set_check_revocation'
 'X509_STORE_get_cert_crl' 'NCONF_new' 'ECDSA_SIG_max_len' 'EVP_des_ecb'
 'RSA_add_pkcs1_prefix' 'i2d_PKCS7' 'RSA_generate_key_fips'
 'OpenSSL_version' 'BN_get_rfc3526_prime_1536' 'BN_mpi2bn' 'RSA_set0_key'
 'X509_NAME_ENTRY_set' 'OPENSSL_tolower' 'BN_nnmod_pow2' 'BIO_set_data'
 'DES_set_key_unchecked' 'CRYPTO_BUFFER_POOL_free'
 'CRYPTO_STATIC_MUTEX_unlock_write' 'ERR_restore_state' 'OPENSSL_malloc'
 'bn_lcm_consttime' 'i2d_re_X509_REQ_tbs' 'BIO_meth_set_gets'
 'RSA_marshal_public_key' 'NCONF_free' 'RSA_verify_pss_mgf1'
 'EC_get_builtin_curves' 'BN_bn2mpi' 'CBS_copy_bytes'
 'CONF_modules_load_file' 'EVP_AEAD_CTX_seal_scatter' 'EVP_des_ede3'
 'ECDSA_SIG_to_bytes' 'X509_REVOKED_get0_serialNumber' 'DSA_set0_pqg'
 'EVP_AEAD_CTX_open_gather' 'EVP_parse_digest_algorithm'
 'RSA_private_key_to_bytes' 'CBB_add_asn1_octet_string'
 'X509_STORE_get_cleanup' 'X509_OBJECT_get_type'
 'X509_STORE_get_check_revocation' 'X509_CRL_get_signature_nid'
 'EVP_des_ede_cbc' 'X25519_public_from_private' 'HMAC_CTX_reset'
 'EVP_PKEY_verify_recover_init' 'BIO_meth_set_read' 'BN_marshal_asn1'
 'DSA_parse_public_key' 'CBS_get_any_asn1' 'X509_STORE_get_get_crl'
 'X509_STORE_set_check_crl' 'ECDH_compute_key_fips'
 'X509_REQ_get0_signature' 'EVP_PBE_scrypt' 'X509_REQ_print'
 'EVP_DigestSign' 'EVP_AEAD_CTX_get_iv'
 'X509_STORE_set0_additional_untrusted' 'X509_STORE_set_get_crl'
 'ERR_load_RAND_strings' 'RSA_private_key_from_bytes'
 'RSA_marshal_private_key' 'HRSS_poly3_mul' 'ECDSA_SIG_get0'
 'EC_KEY_parse_parameters' 'PKCS12_verify_mac' 'CBB_add_asn1_bool'
 'EVP_PKEY_CTX_set_ec_paramgen_curve_nid' 'EVP_des_ede'
 'RSA_padding_add_PKCS1_OAEP_mgf1' 'CRYPTO_BUFFER_data' 'BN_set_u64'
 'ENGINE_load_builtin_engines' 'EVP_PKEY_get0_DH' 'BIO_meth_new'
 'OBJ_get0_data' 'CBB_data' 'SPAKE2_generate_msg' 'cbs_get_utf32_be'
 'EVP_parse_public_key' 'X509_REQ_get_signature_nid'
 'EVP_aead_aes_128_ccm_bluetooth_8' 'ECDSA_SIG_from_bytes' 'OBJ_length'
 'HMAC_CTX_new' 'CMAC_CTX_copy' 'CRYPTO_poly1305_update'
 'CRYPTO_BUFFER_POOL_new' 'CRYPTO_BUFFER_free' 'cbb_add_utf32_be'
 'BN_get_u64' 'EVP_AEAD_CTX_tag_len' 'EC_curve_nist2nid' 'HKDF_extract'
 'PKCS7_type_is_signedAndEnveloped' 'ECDSA_SIG_marshal'
 'X509_STORE_set_lookup_certs' 'DES_encrypt3' 'BIO_do_connect'
 'BN_cmp_word' 'CRYPTO_gcm128_init_key' 'RAND_set_rand_method'
 'i2d_PKCS7_bio' 'BUF_MEM_append' 'CBS_asn1_bitstring_has_bit'
 'HRSS_encap' 'BN_MONT_CTX_new_consttime' 'EVP_marshal_private_key'
 'CBB_add_u32' 'DH_set0_pqg' 'EVP_DigestVerify' 'CBB_add_u64'
 'SHA256_TransformBlocks' 'CRYPTO_tls1_prf' 'cbs_get_utf8'
 'CRYPTO_poly1305_finish' 'BN_bn2cbb_padded' 'OPENSSL_no_config'
 'CBS_get_asn1_bool' 'ec_point_mul_scalar_public' 'OPENSSL_malloc_init'
 'PKCS7_get_raw_certificates' 'CRYPTO_BUFFER_len' 'ED25519_keypair'
 'd2i_PublicKey' 'ENGINE_register_all_complete' 'EVP_marshal_public_key'
 'CTR_DRBG_init' 'DH_get0_pqg' 'RAND_set_urandom_fd' 'HMAC_CTX_free'
 'DES_decrypt3' 'BIO_meth_set_destroy' 'X509_STORE_CTX_get0_untrusted'
 'BIO_write_all' 'SPAKE2_CTX_new' 'X509_STORE_get_check_crl'
 'BIO_get_init' 'X509_STORE_set_cleanup' 'DSA_SIG_marshal'
 'OPENSSL_load_builtin_modules' 'ASN1_INTEGER_set_uint64' 'X25519_keypair'
 'X509_STORE_get_get_issuer' 'BN_equal_consttime' 'BIO_set_retry_special'
 'EC_KEY_generate_key_fips' 'EVP_aes_192_ofb' 'X509_NAME_get0_der'
 'DSA_parse_parameters' 'CRYPTO_BUFFER_new' 'X25519' 'BN_is_pow2'
 'EC_KEY_parse_curve_name' 'CBB_did_write' 'PEM_write_PKCS7'
 'X509_STORE_get0_param' 'RSA_public_key_from_bytes' 'BN_bn2le_padded'
 'HRSS_poly3_invert' 'cbb_add_ucs2_be' 'HRSS_generate_key'
 'bn_resize_words' 'PKCS12_create' 'i2d_PKCS12_fp' 'EC_KEY_check_fips'
 'EC_KEY_key2buf' 'PKCS7_type_is_digest' 'CRYPTO_poly1305_init'
 'i2d_re_X509_CRL_tbs' 'BORINGSSL_self_test' 'OPENSSL_cleanup'
 'BIO_meth_free' 'RSA_get0_key' 'OPENSSL_free'
 'EVP_PKEY_CTX_set_ec_param_enc' 'X509_STORE_set_cert_crl'
 'X509_get0_extensions' 'X509_STORE_get0_objects'
 'X509_STORE_get_lookup_certs' 'X509_REVOKED_get0_revocationDate'
 'HKDF_expand' 'RSA_check_fips' 'EVP_AEAD_CTX_zero'
 'HRSS_parse_public_key' 'CBB_reserve' 'EVP_aead_aes_256_gcm_tls13'
 'CBS_asn1_oid_to_text' 'DSA_get0_key' 'i2d_PKCS12' 'd2i_PKCS7_bio'
 'EVP_PKEY_get0_EC_KEY' 'CRYPTO_MUTEX_unlock_read' 'X509_STORE_up_ref'
 'EVP_PKEY_get0_RSA' 'BN_count_low_zero_bits' 'EVP_des_ede3_ecb'
 'd2i_DHparams_bio' 'FIPS_mode' 'EVP_aead_aes_256_gcm_tls12'
 'RSA_get0_factors' 'CBB_len' 'X509_STORE_set_check_issued'
 'CRYPTO_MUTEX_unlock_write' 'EVP_CIPHER_CTX_encrypting'
 'BIO_meth_set_puts' 'DSA_set0_key' 'CBB_discard_child'
 'CONF_modules_free' 'X509_STORE_set_verify' 'BN_parse_asn1_unsigned'
 'EVP_parse_private_key' 'SPAKE2_process_msg' 'BN_mod_pow2'
 'X509V3_EXT_free' 'DH_parse_parameters' 'BIO_get_shutdown'
 'EVP_AEAD_CTX_free' 'ERR_print_errors' 'RSA_get0_crt_params'
 'X509_STORE_set_lookup_crls' 'PKCS8_parse_encrypted_private_key'
 'CRYPTO_chacha_20' 'EVP_aead_aes_128_gcm_siv' 'HRSS_marshal_public_key'
 'EVP_CIPHER_CTX_reset' 'X509_STORE_get_verify_cb' 'CBB_flush_asn1_set_of'
 'OPENSSL_config' 'i2d_DHparams_bio' 'EVP_PKEY_verify_recover' 'BN_le2bn'
 'cbb_add_utf8' 'CBB_zero' 'EC_GROUP_order_bits' 'ec_bignum_to_scalar'
 'BIO_set_shutdown' 'EVP_MD_CTX_new' 'RSA_public_key_to_bytes'
 'X509_get_extension_flags' 'RSA_flags' 'EC_KEY_marshal_curve_name'
 'bn_div_consttime' 'BN_bn2binpad' 'CTR_DRBG_clear' 'HRSS_decap'
 'X509_STORE_set_get_issuer' 'EC_KEY_marshal_private_key'
 'EC_POINT_point2cbb' 'X509_STORE_CTX_get0_cert' 'BIO_get_new_index'
 'X509_parse_from_buffer' 'FIPS_mode_set' 'EVP_aead_aes_128_ccm_bluetooth'
 'CRYPTO_get_dynlock_destroy_callback' 'RSA_parse_private_key'
 'X509_STORE_CTX_zero' 'DSA_marshal_parameters'
 'HRSS_poly2_rotr_consttime' 'RSA_set0_crt_params'
 'EVP_PKEY_new_ed25519_public' 'X509_CRL_get0_signature'
 'CRYPTO_BUFFER_init_CBS' 'RSA_sign_pss_mgf1' 'PKCS7_type_is_data'
 'CRYPTO_is_confidential_build' 'cbb_add_latin1' 'CRYPTO_BUFFER_up_ref'
 'DSA_get0_pqg' 'EC_KEY_parse_private_key'
 'OPENSSL_add_all_algorithms_conf' 'BIO_eof' 'CTR_DRBG_reseed'
 'OBJ_cleanup' 'EVP_AEAD_CTX_new' 'bn_abs_sub_consttime' 'sk_pop_free_ex'
 'DH_set0_key']","['EVP_MD_CTX_set_flags' 'sha1_block_data_order' 'DH_get_2048_256'
 'ECDSA_sign_setup' 'EVP_aead_aes_128_cbc_sha1_ssl3' 'd2i_ASN1_bytes'
 'ASN1_PCTX_free' 'i2d_X509_CERT_PAIR' 'PEM_read_bio_X509_CERT_PAIR'
 'PBKDF2PARAM_new' 'BIO_get_callback_arg' 'DH_new_method'
 'X509_CERT_PAIR_new' 'UTF8_getc' 'BIO_set_read_buffer_size'
 'ASN1_PCTX_get_cert_flags' 'PEM_read_X509_CERT_PAIR'
 'EVP_AEAD_CTX_get_rc4_state' 'aes_v8_set_decrypt_key' 'i2d_PBKDF2PARAM'
 'PEM_write_bio_Parameters' 'BIO_f_asn1' 'BN_get_flags' 'i2d_ASN1_bytes'
 'BIO_asn1_get_suffix' 'EC_KEY_precompute_mult'
 'aes_v8_ctr32_encrypt_blocks' 'a2i_ASN1_INTEGER' 'bn_wexpand'
 'd2i_EC_PRIVATEKEY' 'ASN1_PCTX_get_oid_flags' 'ASN1_BIT_STRING_num_asc'
 'EVP_DigestSignAlgorithm' 'BIO_new_bio_pair_external_buf'
 'PKCS5_pbe_set0_algor' 'RSA_message_index_PKCS1_type_2'
 'BIO_set_callback' 'i2d_PBEPARAM' 'RSA_recover_crt_params'
 'ASN1_PCTX_get_str_flags' 'BIO_zero_copy_get_read_buf_done'
 'PKCS8_decrypt_pbe' 'gcm_init_v8' 'SSL_set_session_ticket_ext_cb'
 'BIO_asn1_set_prefix' 'X509_CERT_PAIR_free' 'a2i_ASN1_STRING'
 'EC_PRIVATEKEY_free' 'CRYPTO_MUTEX_unlock' 'ASN1_bn_print' 'ASN1_parse'
 'PBEPARAM_new' 'X509_certificate_type' 'ASN1_PCTX_set_flags'
 'PEM_read_bio_Parameters' 'BIO_zero_copy_get_write_buf_done'
 'BN_kronecker' 'ASN1_PCTX_set_str_flags' 'CRYPTO_dup_ex_data'
 'EC_KEY_copy' 'OPENSSL_DIR_end' 'EVP_PKEY_supports_digest'
 'CRYPTO_STATIC_MUTEX_unlock' 'EVP_PKEY_new_mac_key' 'ECDSA_sign_ex'
 'd2i_PBKDF2PARAM' 'DH_get_1024_160' 'ASN1_dup' 'sha256_block_data_order'
 'EC_POINTs_mul' 'ECPKPARAMETERS_new' 'a2i_ASN1_ENUMERATED'
 'EC_GROUP_have_precompute_mult' 'ENGINE_get_DH_method'
 'CRYPTO_ctr128_encrypt_ctr32' 'BIO_new_NDEF' 'aes_v8_cbc_encrypt'
 'd2i_X509_CERT_PAIR' 'ECPKPARAMETERS_free' 'ASN1_check_infinite_end'
 'BIO_zero_copy_get_read_buf' 'ASN1_i2d_bio' 'get_rfc3526_prime_1536'
 'i2d_ECPKPARAMETERS' 'UTF8_putc' 'EC_POINTs_make_affine'
 'BN_generate_dsa_nonce' 'CRYPTO_is_NEON_functional' 'PBE2PARAM_new'
 'asn1_const_Finish' 'BIO_print_errors' 'EVP_PKEY_dup' 'PKCS5_pbe_set'
 'BIO_asn1_set_suffix' 'ASN1_PCTX_new' 'bn_correct_top' 'i2d_PBE2PARAM'
 'sha512_block_data_order_neon' 'ASN1_const_check_infinite_end'
 'BN_MONT_CTX_init' 'ASN1_parse_dump' 'PBKDF2PARAM_free' 'lh_doall'
 'BN_set_flags' 'asn1_Finish' 'ENGINE_get_DSA_method' 'asn1_GetSequence'
 'ASN1_PCTX_get_flags' 'gcm_ghash_v8' 'ASN1_PCTX_set_cert_flags'
 'OPENSSL_DIR_read' 'PKCS5_pbkdf2_set' 'd2i_ECPKPARAMETERS'
 'EVP_aead_aes_256_key_wrap' 'ASN1_PCTX_get_nm_flags'
 'CRYPTO_is_NEON_capable' 'ASN1_d2i_fp' 'EVP_aead_rc4_sha1_ssl3'
 'aes_v8_decrypt' 'BIO_zero_copy_get_write_buf' 'aes_v8_encrypt'
 'CRYPTO_gcm128_release' 'DSA_sign_setup' 'd2i_PBE2PARAM'
 'ECPARAMETERS_free' 'ASN1_d2i_bio' 'EC_PRIVATEKEY_new'
 'EVP_PKEY_CTX_get_app_data' 'ASN1_BIT_STRING_name_print'
 'SSL_set_session_secret_cb' 'PBEPARAM_free' 'CRYPTO_ctr128_encrypt'
 'EVP_aead_rc4_sha1_tls' 'EVP_PKEY_assign_DH' 'EVP_PKEY_CTX_set_app_data'
 'ECPARAMETERS_new' 'EVP_PKEY_asn1_find' 'BN_with_flags'
 'PEM_write_X509_CERT_PAIR' 'EVP_aead_aes_256_cbc_sha1_ssl3'
 'EVP_aead_aes_128_key_wrap' 'RSA_supports_digest' 'ASN1_i2d_fp'
 'sha256_block_data_order_neon' 'EVP_aead_rc4_md5_tls'
 'SSL_set_ssl_method' 'PKCS5_pbe2_set_iv' 'DSA_new_method'
 'PKCS8_encrypt_pbe' 'CRYPTO_set_NEON_capable' 'EC_GROUP_precompute_mult'
 'a2d_ASN1_OBJECT' 'BIO_set_callback_arg' 'PKCS5_pbe2_set'
 'BIO_asn1_get_prefix' 'd2i_ASN1_UINTEGER' 'CRYPTO_gcm128_new'
 'X509_STORE_set_lookup_crls_cb' 'PEM_write_bio_X509_CERT_PAIR'
 'EVP_aead_des_ede3_cbc_sha1_ssl3' 'd2i_ASN1_type_bytes'
 'EVP_DigestVerifyInitFromAlgorithm' 'ASN1_PCTX_set_oid_flags'
 'PBE2PARAM_free' 'CRYPTO_gcm128_init' 'd2i_PBEPARAM' 'BIO_f_buffer'
 'ASN1_item_print' 'ECDSA_do_sign_ex' 'ASN1_BIT_STRING_set_asc'
 'aes_v8_set_encrypt_key' 'DH_get_2048_224' 'ENGINE_set_DSA_method'
 'ASN1_PCTX_set_nm_flags' 'EC_POINT_make_affine'
 'SSL_set_session_ticket_ext' 'sha512_block_data_order'
 'EVP_aead_rc4_md5_ssl3' 'EVP_PKEY_asn1_find_str' 'EVP_PKEY_set1_DH'
 'ENGINE_set_DH_method' 'CRYPTO_set_NEON_functional' 'i2d_EC_PRIVATEKEY'
 'gcm_gmult_v8']"
10,beista,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,coolpad,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,fairphone,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,huawei,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,lge,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,motorola,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,oneplus,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
10,oppo,['CRYPTO_has_broken_NEON' 'CRYPTO_needs_hwcap2_workaround'],[' ']
